,TRADE_DATE_BEGIN,GEN_DAILY,CODIGO_SIC,PORCENTAJE
120,2023-01-31,28107.45,EPSG,0.0003915190264224842
121,2023-02-01,23230.14,EPSG,0.0003235811785294649
122,2023-02-02,25432.099999999995,EPSG,0.0003542530906175857
123,2023-02-03,15042.6,EPSG,0.00020953391740847574
124,2023-02-04,14361.32,EPSG,0.00020004411729067386
125,2023-02-05,20686.340000000004,EPSG,0.00028814765114033804
126,2023-02-06,17329.18,EPSG,0.00024138453265237455
127,2023-02-07,14704.51,EPSG,0.00020482453723904813
128,2023-02-08,12964.130000000001,EPSG,0.00018058214302665382
129,2023-02-09,13408.119999999997,EPSG,0.0001867666433118564
130,2023-02-10,19978.539999999997,EPSG,0.00027828844417201337
131,2023-02-11,12430.839999999998,EPSG,0.00017315375014146332
132,2023-02-12,9988.699999999999,EPSG,0.00013913628234600675
133,2023-02-13,14539.84,EPSG,0.00020253078814117586
134,2023-02-14,12199.85,EPSG,0.0001699362053299159
135,2023-02-15,14452.39,EPSG,0.0002013126648727667
136,2023-02-16,4491.56,EPSG,6.256459402465089e-05
137,2023-02-17,23282.31,EPSG,0.0003243078736799841
138,2023-02-18,21612.93,EPSG,0.0003010544646254748
139,2023-02-19,18322.46,EPSG,0.0002552202957175023
140,2023-02-20,2231.92,EPSG,3.108923596601154e-05
141,2023-02-21,1964.3799999999999,EPSG,2.7362572738679586e-05
142,2023-02-22,533.09,EPSG,7.425607011506277e-06
143,2023-02-23,26413.260000000006,EPSG,0.00036792002973745207
144,2023-02-24,17855.17,EPSG,0.0002487112411480923
145,2023-02-25,19186.75,EPSG,0.00026725930955001604
146,2023-02-26,27054.16,EPSG,0.00037684736195841726
147,2023-02-27,25515.840000000004,EPSG,0.00035541953592915337
148,2023-02-28,22663.64,EPSG,0.0003156901913190158
149,2023-03-01,15877.94,EPSG,0.00022116967602520398
150,2023-03-02,12549.99,EPSG,0.0001748134343888155
151,2023-03-03,8832.689999999999,EPSG,0.0001230337931577433
152,2023-03-04,13525.359999999999,EPSG,0.00018839972246552464
153,2023-03-05,19950.010000000002,EPSG,0.0002778910392909647
154,2023-03-06,19049.329999999998,EPSG,0.0002653451357416137
155,2023-03-07,10172.659999999998,EPSG,0.0001416987289607185
156,2023-03-08,13130.59,EPSG,0.00018290082569399953
157,2023-03-09,4254.1,EPSG,5.9256926199420094e-05
158,2023-03-10,5671.91,EPSG,7.900612404027944e-05
159,2023-03-11,2442.8199999999997,EPSG,3.402693976598278e-05
160,2023-03-12,12186.25,EPSG,0.0001697467659193914
161,2023-03-13,9605.32,EPSG,0.00013379604108079587
162,2023-03-14,5855.410000000001,EPSG,8.156216314551759e-05
163,2023-03-15,9716.26,EPSG,0.00013534136521341233
164,2023-03-16,9396.24,EPSG,0.0001308836887313507
165,2023-03-17,32562.91,EPSG,0.00045358077024714
166,2023-03-18,11474.599999999999,EPSG,0.00015983393088264632
167,2023-03-19,20119.939999999995,EPSG,0.0002802580568667309
168,2023-03-20,29689.52,EPSG,0.0004135562623201633
169,2023-03-21,19959.63,EPSG,0.0002780250398151739
170,2023-03-22,24281.04,EPSG,0.00033821955180300586
171,2023-03-23,13013.09,EPSG,0.00018126412490454186
172,2023-03-24,826.38,EPSG,1.1510951475676823e-05
173,2023-03-25,16123.929999999998,EPSG,0.00022459616136306514
174,2023-03-26,9999.13,EPSG,0.00013928156565863693
175,2023-03-27,4168.66,EPSG,5.806680096153699e-05
176,2023-03-28,28057.270000000004,EPSG,0.0003908200507151227
177,2023-03-29,8266.41,EPSG,0.00011514587040834682
178,2023-03-30,21991.010000000002,EPSG,0.00030632088023805487
179,2023-03-31,15786.870000000003,EPSG,0.00021990112844311115
180,2023-01-01,350.58,EPSG,4.8833579810048404e-06
181,2023-01-23,8.55,EPSG,1.1909609999883448e-07
182,2023-01-24,0.23,EPSG,3.203754736810752e-09
183,2023-01-25,2.93,EPSG,4.0813049473284796e-08
184,2023-01-28,0.68,EPSG,9.471970526223094e-09
185,2023-02-12,6135.580000000001,EPSG,8.546475429600572e-05
186,2023-02-13,6706.419999999999,EPSG,9.341619496540157e-05
187,2023-02-14,3931.4500000000003,EPSG,5.476261547841144e-05
188,2023-02-15,7478.84,EPSG,0.00010417551772108575
189,2023-02-16,8885.960000000001,EPSG,0.00012377581061352554
190,2023-02-17,10344.669999999998,EPSG,0.00014409471962280033
191,2023-02-18,1882.1699999999998,EPSG,2.6217439360796056e-05
192,2023-02-19,6316.26,EPSG,8.798151258229688e-05
193,2023-02-20,5334.34,EPSG,7.430398714243073e-05
194,2023-02-21,551.95,EPSG,7.68831489992476e-06
195,2023-02-22,38.480000000000004,EPSG,5.360020968368598e-07
196,2023-02-23,9401.05,EPSG,0.0001309506889934553
197,2023-02-24,9913.14,EPSG,0.00013808377926812233
198,2023-02-25,7609.78,EPSG,0.00010599942922212053
199,2023-02-26,6489.75,EPSG,9.039811870964164e-05
200,2023-02-27,9630.52,EPSG,0.00013414706116500298
201,2023-02-28,8324.390000000001,EPSG,0.00011595349518939156
202,2023-03-01,8524.400000000001,EPSG,0.00011873950816725903
203,2023-03-02,7707.2300000000005,EPSG,0.00010735684617473885
204,2023-03-03,1827.9399999999998,EPSG,2.5462049711329763e-05
205,2023-03-04,3555.2599999999998,EPSG,4.952252637214693e-05
206,2023-03-05,2137.09,EPSG,2.9768313958656047e-05
207,2023-03-06,6353.83,EPSG,8.85048389538707e-05
208,2023-03-07,938.2799999999999,EPSG,1.3069647801977357e-05
209,2023-03-08,3578.89,EPSG,4.985167734793318e-05
210,2023-03-09,3248.37,EPSG,4.5247742497451925e-05
211,2023-03-16,2389.0600000000004,EPSG,3.3278096919674335e-05
212,2023-03-17,1460.04,EPSG,2.0337435069274652e-05
213,2023-03-18,2095.22,EPSG,2.9185091302872275e-05
214,2023-03-19,5443.22,EPSG,7.58206167761001e-05
215,2023-03-20,5839.43,EPSG,8.133957183815135e-05
216,2023-03-21,14203.36,EPSG,0.00019784383425490594
217,2023-03-22,10728.300000000001,EPSG,0.00014943844323011648
218,2023-03-23,4280.429999999999,EPSG,5.962368646994281e-05
219,2023-03-24,216.01,EPSG,3.0088828726021327e-06
220,2023-03-25,12329.400000000003,EPSG,0.00017174075500884562
221,2023-03-26,6160.09,EPSG,8.580616311600238e-05
222,2023-03-27,3688.9100000000003,EPSG,5.13841864616024e-05
223,2023-03-28,4766.0,EPSG,6.638736989408715e-05
224,2023-03-29,130.51,EPSG,1.817921872613788e-06
225,2023-03-30,8756.630000000001,EPSG,0.00012197432539564842
226,2023-03-31,6025.32,EPSG,8.392890213391548e-05
227,2023-01-01,24253.199999999997,EPSG,0.00033783175818616747
228,2023-01-02,4086.0,EPSG,5.6915399367864055e-05
229,2023-01-03,6379.2,EPSG,8.885822703070935e-05
230,2023-01-04,15945.6,EPSG,0.00022211213709256316
231,2023-01-05,10319.999999999998,EPSG,0.00014375108210385633
232,2023-01-06,17077.2,EPSG,0.00023787461039767208
233,2023-01-07,2171.9999999999995,EPSG,3.0254588210230227e-05
234,2023-01-08,4821.599999999999,EPSG,6.716184277829008e-05
235,2023-01-09,11829.6,EPSG,0.00016477885667207163
236,2023-01-10,13161.6,EPSG,0.00018333277540873215
237,2023-01-11,6972.0,EPSG,9.711555663062853e-05
238,2023-01-12,4358.4,EPSG,6.0709759325721655e-05
239,2023-01-13,16449.6,EPSG,0.00022913253877670497
240,2023-01-14,9208.8,EPSG,0.00012827276791453412
241,2023-01-15,20397.6,EPSG,0.00028412568530248255
242,2023-01-16,12923.999999999998,EPSG,0.0001800231574719224
243,2023-01-17,6003.6,EPSG,8.362635625181318e-05
244,2023-01-18,8563.2,EPSG,0.00011927996766199058
245,2023-01-19,8526.0,EPSG,0.00011876179515673249
246,2023-01-20,24135.600000000002,EPSG,0.0003361936644598678
247,2023-01-21,14862.0,EPSG,0.00020701827347165824
248,2023-01-22,20155.2,EPSG,0.0002807492063972525
249,2023-01-23,13105.199999999999,EPSG,0.00018254715902979245
250,2023-01-24,3606.000000000001,EPSG,5.022930252582424e-05
251,2023-01-25,13204.800000000001,EPSG,0.00018393452412451575
252,2023-01-26,21051.600000000002,EPSG,0.0002932354922497619
253,2023-01-27,18540.0,EPSG,0.00025825049052378843
254,2023-01-28,23834.4,EPSG,0.0003319981386914878
255,2023-01-29,31453.2,EPSG,0.000438123210816765
256,2023-01-30,12525.6,EPSG,0.00017447369709302937
257,2023-01-31,6738.0,EPSG,9.385608442013412e-05
258,2023-02-01,15934.800000000001,EPSG,0.00022196169991361728
259,2023-02-02,22134.0,EPSG,0.0003083126406285617
260,2023-02-03,28344.000000000004,EPSG,0.000394814018522452
261,2023-02-04,30970.8,EPSG,0.00043140368349051496
262,2023-02-05,40777.200000000004,EPSG,0.0005680006419733888
263,2023-02-06,15032.4,EPSG,0.00020939183785058239
264,2023-02-07,16496.4,EPSG,0.0002297844332188039
265,2023-02-08,11860.8,EPSG,0.0001652134529668042
266,2023-02-09,25317.600000000002,EPSG,0.0003526581779333909
267,2023-02-10,28809.600000000002,EPSG,0.00040129953245923066
268,2023-02-11,31422.0,EPSG,0.00043768861452203237
269,2023-02-12,30087.6,EPSG,0.00041910126530116164
270,2023-02-13,5403.599999999999,EPSG,7.526873519926338e-05
271,2023-02-14,3489.6,EPSG,4.860792404162957e-05
272,2023-02-15,9853.2,EPSG,0.00013724885292497262
273,2023-02-16,12265.2,EPSG,0.00017084648955622276
274,2023-02-17,17179.2,EPSG,0.00023929540597660554
275,2023-02-18,3177.6,EPSG,4.426196109430367e-05
276,2023-02-19,20215.2,EPSG,0.00028158496850250745
277,2023-02-20,7845.599999999999,EPSG,0.00010928425288314102
278,2023-02-21,1460.3999999999999,EPSG,2.0342449641906183e-05
279,2023-02-22,100.80000000000001,EPSG,1.4040803368283644e-06
280,2023-02-23,13326.0,EPSG,0.00018562276357713078
281,2023-02-24,11955.600000000002,EPSG,0.0001665339570931071
282,2023-02-25,13989.600000000002,EPSG,0.00019486629246125088
283,2023-02-26,41211.6,EPSG,0.0005740515596154347
284,2023-02-27,19358.399999999998,EPSG,0.0002696502856394663
285,2023-02-28,14564.400000000001,EPSG,0.00020287289342959356
286,2023-03-01,15284.4,EPSG,0.00021290203869265328
287,2023-03-02,14266.8,EPSG,0.00019872751338752886
288,2023-03-03,5599.2,EPSG,7.799331966239461e-05
289,2023-03-04,2506.8,EPSG,3.491814075755301e-05
290,2023-03-05,6926.4,EPSG,9.648037743063474e-05
291,2023-03-06,11767.2,EPSG,0.00016390966408260646
292,2023-03-07,10388.4,EPSG,0.00014470385090384702
293,2023-03-08,10255.2,EPSG,0.00014284845903018097
294,2023-03-09,5194.799999999999,EPSG,7.236028307297605e-05
295,2023-03-10,16329.6,EPSG,0.00022746101456619502
296,2023-03-12,16209.600000000002,EPSG,0.0002257894903556851
297,2023-03-13,2122.7999999999997,EPSG,2.9569263283921145e-05
298,2023-03-14,7009.200000000001,EPSG,9.763372913588663e-05
299,2023-03-15,5880.0,EPSG,8.190468631498792e-05
300,2023-03-16,2803.2,EPSG,3.904680555751261e-05
301,2023-03-17,16882.8,EPSG,0.00023516674117664591
302,2023-03-18,5995.200000000001,EPSG,8.350934955707749e-05
303,2023-03-19,26760.0,EPSG,0.00037274989894372053
304,2023-03-20,31466.399999999998,EPSG,0.00043830707847992105
305,2023-03-21,23089.2,EPSG,0.00032161797334422093
306,2023-03-22,17082.0,EPSG,0.00023794147136609246
307,2023-03-23,11539.2,EPSG,0.00016073376808263754
308,2023-03-24,988.8,EPSG,1.3773359494602049e-05
309,2023-03-25,19680.0,EPSG,0.00027412997052363305
310,2023-03-26,22032.0,EPSG,0.0003068918450496282
311,2023-03-27,6573.6,EPSG,9.156609625173547e-05
312,2023-03-28,16533.600000000002,EPSG,0.000230302605724062
313,2023-03-29,2000.3999999999999,EPSG,2.786430858920099e-05
314,2023-03-30,18674.4,EPSG,0.00026012259763955964
315,2023-03-31,10491.599999999999,EPSG,0.00014614136172488558
316,2023-01-01,6724.800000000001,ERRG,0.02792056787764573
317,2023-01-02,5875.599999999999,ERRG,0.02439479071822139
318,2023-01-03,249.60000000000002,ERRG,0.0010363094429961298
